"Kod";"Nazwa";"przewozy pasażerów w mln;2009;[osoba]";"przewozy pasażerów w mln;2010;[osoba]";"przewozy pasażerów w mln;2011;[osoba]";"przewozy pasażerów w mln;2012;[osoba]";"przewozy pasażerów w mln;2013;[osoba]";"przewozy pasażerów w mln;2014;[osoba]";"przewozy pasażerów w mln;2015;[osoba]";"przewozy pasażerów w mln;2016;[osoba]";"przewozy pasażerów w mln;2017;[osoba]";"przewozy pasażerów w mln;2018;[osoba]";"przewozy pasażerów w mln;2019;[osoba]";"przewozy pasażerów w mln;2020;[osoba]";"przewozy pasażerów w mln;2021;[osoba]";"przewozy pasażerów w mln;2022;[osoba]";
011200000000;"MAŁOPOLSKIE";371,0;389,7;396,7;408,4;416,6;484,9;396,9;418,2;444,9;450,7;455,2;244,3;248,6;378,8;
012400000000;"ŚLĄSKIE";547,0;461,0;570,3;585,6;460,9;436,5;416,7;413,7;406,1;403,8;375,3;203,6;327,9;344,3;
020800000000;"LUBUSKIE";47,0;45,4;42,0;41,3;40,1;39,2;43,1;42,9;43,5;43,4;43,5;32,3;33,3;40,4;
023000000000;"WIELKOPOLSKIE";270,0;381,5;290,2;268,5;226,6;259,2;279,8;299,8;306,2;313,4;309,2;200,2;213,0;269,7;
023200000000;"ZACHODNIOPOMORSKIE";181,0;180,0;182,2;181,0;177,1;175,0;176,7;179,5;180,1;166,9;210,9;145,7;133,3;163,7;
030200000000;"DOLNOŚLĄSKIE";230,0;242,6;215,9;242,0;251,7;259,2;264,1;271,1;281,2;274,8;260,5;162,8;163,4;200,7;
031600000000;"OPOLSKIE";30,0;28,7;28,2;25,5;25,5;21,5;25,4;25,5;25,8;25,9;26,7;16,1;14,9;23,5;
040400000000;"KUJAWSKO-POMORSKIE";177,0;189,7;174,1;167,7;173,6;168,9;181,8;182,9;172,0;172,4;174,2;113,8;119,2;149,7;
042200000000;"POMORSKIE";291,0;303,1;292,7;279,1;284,7;287,8;291,6;291,7;291,5;292,1;299,5;192,5;207,3;255,9;
042800000000;"WARMIŃSKO-MAZURSKIE";67,0;73,6;63,4;59,5;50,7;64,4;53,8;63,2;66,3;65,1;65,4;44,4;26,8;51,5;
051000000000;"ŁÓDZKIE";192,0;189,9;215,9;255,4;250,1;254,6;258,4;300,1;230,9;251,2;255,9;155,5;157,0;189,6;
052600000000;"ŚWIĘTOKRZYSKIE";46,0;46,1;47,3;47,9;47,7;48,6;48,5;46,8;46,2;45,2;46,3;32,9;32,2;42,0;
060600000000;"LUBELSKIE";100,0;98,9;98,0;126,1;133,3;140,6;143,5;142,1;141,3;128,8;146,7;86,3;90,4;105,6;
061800000000;"PODKARPACKIE";62,0;58,2;54,0;48,2;54,7;53,4;52,6;55,5;59,6;63,3;72,8;31,9;35,4;44,8;
062000000000;"PODLASKIE";103,0;99,5;108,2;110,1;108,4;108,8;108,9;108,5;106,3;101,8;96,6;41,4;61,5;86,9;
071400000000;"MAZOWIECKIE";1065,0;1117,0;1111,0;1021,2;919,1;908,7;930,2;924,7;937,7;975,2;1026,1;567,3;636,7;712,5;
