"Kod";"Nazwa";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2018;[szt.]";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2019;[szt.]";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2020;[szt.]";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2021;[szt.]";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2022;[szt.]";
011200000000;"MAŁOPOLSKIE";14666;15102;15617;15955;16266;
012400000000;"ŚLĄSKIE";13400;13665;13997;14212;14651;
020800000000;"LUBUSKIE";3432;3531;3568;3541;3626;
023000000000;"WIELKOPOLSKIE";14913;15409;15875;16216;16618;
023200000000;"ZACHODNIOPOMORSKIE";6837;6904;6942;7011;7113;
030200000000;"DOLNOŚLĄSKIE";10824;11033;11460;11831;11958;
031600000000;"OPOLSKIE";4037;4286;4337;4444;4570;
040400000000;"KUJAWSKO-POMORSKIE";10421;10700;11048;11295;11564;
042200000000;"POMORSKIE";9330;9562;9750;9846;10137;
042800000000;"WARMIŃSKO-MAZURSKIE";5734;5922;6055;6420;6958;
051000000000;"ŁÓDZKIE";11179;11680;11957;11964;12270;
052600000000;"ŚWIĘTOKRZYSKIE";12098;12510;12835;13058;13389;
060600000000;"LUBELSKIE";11846;12168;12381;12610;12773;
061800000000;"PODKARPACKIE";9981;10221;10389;10390;10621;
062000000000;"PODLASKIE";6152;6504;6720;6890;6998;
071400000000;"MAZOWIECKIE";21412;21735;22205;22848;23429;
