"Kod";"Nazwa";"ratownictwo;2010;[%]";"ratownictwo;2012;[%]";"ratownictwo;2014;[%]";"ratownictwo;2016;[%]";"ratownictwo;2018;[%]";"ratownictwo;2020;[%]";"ratownictwo;2022;[%]";"pomoc społeczna i humanitarna;2010;[%]";"pomoc społeczna i humanitarna;2012;[%]";"pomoc społeczna i humanitarna;2014;[%]";"pomoc społeczna i humanitarna;2016;[%]";"pomoc społeczna i humanitarna;2018;[%]";"pomoc społeczna i humanitarna;2020;[%]";"pomoc społeczna i humanitarna;2022;[%]";"ochrona zdrowia;2010;[%]";"ochrona zdrowia;2012;[%]";"ochrona zdrowia;2014;[%]";"ochrona zdrowia;2016;[%]";"ochrona zdrowia;2018;[%]";"ochrona zdrowia;2020;[%]";"ochrona zdrowia;2022;[%]";
0200000;"DOLNOŚLĄSKIE";4,4;4,4;4,6;4,3;4,6;4,3;;6,7;7,7;6,6;8,0;8,5;10,2;;10,5;8,6;9,0;7,9;8,6;9,2;;
0400000;"KUJAWSKO-POMORSKIE";5,1;5,1;4,8;5,3;5,5;5,4;;4,0;4,2;3,6;4,8;5,5;5,5;;3,5;3,1;4,8;3,7;5,3;4,2;;
0600000;"LUBELSKIE";10,4;10,2;10,5;10,2;9,8;10,2;;7,8;5,6;6,5;5,9;5,1;5,9;;3,1;4,0;3,4;4,5;4,6;3,2;;
0800000;"LUBUSKIE";1,9;2,1;1,9;2,0;2,1;2,1;;2,2;3,6;2,7;2,9;3,2;2,5;;2,9;2,0;2,6;3,4;2,4;3,0;;
1000000;"ŁÓDZKIE";9,1;9,0;9,3;9,2;9,4;9,2;;6,6;5,2;5,5;5,7;5,2;3,9;;4,7;9,2;6,2;6,8;5,7;5,4;;
1200000;"MAŁOPOLSKIE";8,7;8,9;8,9;8,9;9,4;9,3;;10,7;7,7;9,2;7,4;10,5;9,8;;7,1;7,0;9,5;8,2;8,5;9,3;;
1400000;"MAZOWIECKIE";12,6;12,6;11,5;12,5;11,3;12,0;;13,0;19,4;17,7;15,9;10,9;16,0;;22,8;18,4;17,2;17,8;18,0;20,1;;
1600000;"OPOLSKIE";3,5;3,4;3,5;3,5;3,5;3,6;;2,2;1,9;2,6;2,5;2,5;2,2;;1,7;1,4;2,1;1,7;1,6;1,1;;
1800000;"PODKARPACKIE";7,7;7,7;8,2;7,9;8,1;7,6;;5,6;6,2;4,8;5,2;5,9;5,3;;2,4;4,6;4,6;3,4;2,4;4,3;;
2000000;"PODLASKIE";3,9;3,8;3,9;3,7;3,4;3,6;;2,7;2,4;2,9;3,0;2,9;3,2;;3,4;4,5;3,0;2,7;1,6;2,1;;
2200000;"POMORSKIE";3,8;3,7;3,4;3,5;3,6;3,7;;5,2;5,8;7,1;7,5;6,6;6,8;;9,1;7,1;7,7;7,3;7,1;6,3;;
2400000;"ŚLĄSKIE";6,1;6,0;6,3;6,1;6,3;6,2;;12,0;9,8;11,1;10,2;12,7;9,8;;13,0;9,9;12,9;12,8;12,4;9,5;;
2600000;"ŚWIĘTOKRZYSKIE";5,2;5,2;5,5;5,3;5,2;5,3;;3,3;2,5;3,3;3,1;2,5;3,6;;2,4;2,1;2,4;2,1;2,7;3,1;;
2800000;"WARMIŃSKO-MAZURSKIE";3,7;3,4;3,6;3,5;3,3;3,5;;4,2;4,3;3,8;4,6;3,9;2,9;;1,7;2,6;2,5;2,6;5,0;3,5;;
3000000;"WIELKOPOLSKIE";11,1;11,8;11,5;11,4;11,6;11,2;;9,8;9,4;8,7;9,9;9,6;8,8;;8,7;11,6;7,1;9,0;9,2;12,2;;
3200000;"ZACHODNIOPOMORSKIE";2,8;2,8;2,7;2,8;3,0;2,9;;4,1;4,3;3,9;3,4;4,5;3,7;;2,9;3,8;4,9;6,1;4,8;3,5;;
