"Kod";"Nazwa";"apteki;2004;[ob.]";"apteki;2005;[ob.]";"apteki;2006;[ob.]";"apteki;2007;[ob.]";"apteki;2008;[ob.]";"apteki;2009;[ob.]";"apteki;2010;[ob.]";"apteki;2011;[ob.]";"apteki;2012;[ob.]";"apteki;2013;[ob.]";"apteki;2014;[ob.]";"apteki;2015;[ob.]";"apteki;2016;[ob.]";"apteki;2017;[ob.]";"apteki;2018;[ob.]";"apteki;2019;[ob.]";"apteki;2020;[ob.]";"apteki;2021;[ob.]";"apteki;2022;[ob.]";
011200000000;"MAŁOPOLSKIE";922;929;943;940;930;967;991;1083;1112;1103;1131;1140;1139;1157;1117;1062;1046;1024;1016;
012400000000;"ŚLĄSKIE";1115;1148;1155;1164;1148;1176;1294;1344;1395;1401;1456;1486;1508;1526;1485;1420;1410;1372;1344;
020800000000;"LUBUSKIE";261;275;293;297;291;288;296;301;304;313;323;316;319;329;313;305;297;291;282;
023000000000;"WIELKOPOLSKIE";799;832;926;994;976;1013;1027;1053;1137;1155;1185;1234;1299;1364;1316;1260;1250;1225;1196;
023200000000;"ZACHODNIOPOMORSKIE";411;425;421;423;449;412;481;491;502;520;533;560;575;588;575;552;549;541;533;
030200000000;"DOLNOŚLĄSKIE";779;842;872;917;920;922;943;969;970;993;1006;1012;1063;1077;1037;992;947;925;902;
031600000000;"OPOLSKIE";255;263;272;276;278;273;279;298;303;308;307;314;327;335;319;304;291;291;294;
040400000000;"KUJAWSKO-POMORSKIE";524;541;539;528;522;505;527;584;583;580;586;607;630;648;628;604;594;588;574;
042200000000;"POMORSKIE";590;579;571;644;621;589;618;654;682;710;684;728;739;745;724;667;665;661;660;
042800000000;"WARMIŃSKO-MAZURSKIE";314;343;349;351;355;353;366;380;388;401;416;411;428;439;432;413;406;395;388;
051000000000;"ŁÓDZKIE";862;847;870;887;877;890;887;897;864;863;856;912;935;945;906;829;823;820;802;
052600000000;"ŚWIĘTOKRZYSKIE";353;329;386;402;394;396;403;427;417;410;418;421;425;432;412;396;390;382;372;
060600000000;"LUBELSKIE";747;759;786;812;791;787;793;798;805;810;813;819;833;831;812;753;739;734;724;
061800000000;"PODKARPACKIE";516;543;557;561;569;567;570;590;600;629;639;655;700;714;687;665;643;632;617;
062000000000;"PODLASKIE";279;296;308;316;311;322;337;349;352;377;386;387;406;413;398;382;369;369;366;
071400000000;"MAZOWIECKIE";1031;1061;1086;1113;1191;1357;1485;1495;1585;1648;1699;1738;1778;1795;1738;1682;1637;1616;1587;
