"Kod";"Nazwa";"liczba ludności na łóżko w szpitalach ogólnych;2002;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2003;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2004;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2005;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2006;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2007;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2008;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2009;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2010;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2011;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2012;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2013;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2014;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2015;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2016;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2017;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2018;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2019;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2020;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2021;[osoba]";"liczba ludności na łóżko w szpitalach ogólnych;2022;[osoba]";
011200000000;"MAŁOPOLSKIE";221;228;230;235;239;241;226;229;234;233;224;226;225;227;227;226;229;248;254;248;252;
012400000000;"ŚLĄSKIE";169;171;172;175;175;179;172;174;178;181;178;178;178;179;179;181;184;194;195;197;201;
020800000000;"LUBUSKIE";210;213;216;233;238;234;227;232;244;243;226;229;230;231;234;231;237;254;238;243;254;
023000000000;"WIELKOPOLSKIE";208;208;211;215;218;220;212;214;220;221;215;237;222;221;226;224;232;267;270;266;256;
023200000000;"ZACHODNIOPOMORSKIE";203;203;208;216;216;219;212;213;221;222;205;205;205;207;209;216;217;247;241;234;241;
030200000000;"DOLNOŚLĄSKIE";192;197;197;204;212;219;212;207;207;207;197;193;195;196;195;198;198;221;219;216;216;
031600000000;"OPOLSKIE";225;230;244;251;250;246;232;232;232;231;203;204;206;216;209;217;223;256;238;217;223;
040400000000;"KUJAWSKO-POMORSKIE";223;224;227;229;236;236;223;229;233;233;221;217;211;212;211;213;217;234;236;234;239;
042200000000;"POMORSKIE";236;246;255;257;263;268;255;251;261;267;253;243;247;243;254;251;256;278;274;298;302;
042800000000;"WARMIŃSKO-MAZURSKIE";231;230;231;237;240;243;232;236;243;231;217;217;217;216;213;214;223;228;217;214;216;
051000000000;"ŁÓDZKIE";180;180;182;188;195;194;186;187;188;189;192;187;188;192;195;194;197;213;210;206;213;
052600000000;"ŚWIĘTOKRZYSKIE";217;216;219;222;223;225;204;201;199;198;194;204;200;199;198;204;217;231;222;216;226;
060600000000;"LUBELSKIE";187;186;190;197;197;197;189;188;193;192;183;187;189;189;190;190;193;211;192;193;195;
061800000000;"PODKARPACKIE";239;241;237;237;234;232;215;216;223;223;211;209;207;208;206;208;214;228;232;230;239;
062000000000;"PODLASKIE";185;189;193;196;201;201;194;191;202;211;205;204;202;200;197;199;201;232;214;207;216;
071400000000;"MAZOWIECKIE";213;213;219;219;224;226;215;217;218;217;202;200;204;206;204;207;210;226;227;220;232;
