"Kod";"Nazwa";"ogółem w km2;1995;[km2]";"ogółem w km2;1996;[km2]";"ogółem w km2;1997;[km2]";"ogółem w km2;1998;[km2]";"ogółem w km2;1999;[km2]";"ogółem w km2;2000;[km2]";"ogółem w km2;2001;[km2]";"ogółem w km2;2002;[km2]";"ogółem w km2;2003;[km2]";"ogółem w km2;2004;[km2]";"ogółem w km2;2005;[km2]";"ogółem w km2;2006;[km2]";"ogółem w km2;2007;[km2]";"ogółem w km2;2008;[km2]";"ogółem w km2;2009;[km2]";"ogółem w km2;2010;[km2]";"ogółem w km2;2011;[km2]";"ogółem w km2;2012;[km2]";"ogółem w km2;2013;[km2]";"ogółem w km2;2014;[km2]";"ogółem w km2;2015;[km2]";"ogółem w km2;2016;[km2]";"ogółem w km2;2017;[km2]";"ogółem w km2;2018;[km2]";"ogółem w km2;2019;[km2]";"ogółem w km2;2020;[km2]";"ogółem w km2;2021;[km2]";"ogółem w km2;2022;[km2]";
0200000;"DOLNOŚLĄSKIE";;;;19948;19948;19948;19948;19948;19948;19948;19948;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;19947;
0400000;"KUJAWSKO-POMORSKIE";;;;17970;17970;17970;17970;17970;17970;17970;17970;17972;17972;17972;17972;17972;17972;17972;17972;17972;17972;17972;17972;17972;17971;17971;17971;17972;
0600000;"LUBELSKIE";;;;25114;25114;25114;25114;25114;25114;25114;25121;25122;25122;25122;25122;25122;25122;25122;25122;25122;25122;25122;25122;25122;25123;25123;25123;25122;
0800000;"LUBUSKIE";;;;13984;13984;13984;13984;13984;13989;13989;13989;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;13988;
1000000;"ŁÓDZKIE";;;;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18219;18218;
1200000;"MAŁOPOLSKIE";;;;15144;15144;15144;15144;15107;15190;15190;15190;15183;15183;15183;15183;15183;15183;15183;15183;15183;15183;15183;15183;15183;15183;15183;15183;15184;
1400000;"MAZOWIECKIE";;;;35598;35598;35579;35579;35579;35579;35566;35559;35557;35558;35558;35558;35558;35558;35558;35558;35558;35558;35558;35558;35558;35559;35559;35559;35559;
1600000;"OPOLSKIE";;;;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9412;9411;
1800000;"PODKARPACKIE";;;;17926;17926;17926;17926;17926;17844;17844;17844;17846;17845;17845;17845;17846;17846;17846;17846;17846;17846;17846;17846;17846;17846;17846;17846;17845;
2000000;"PODLASKIE";;;;20180;20180;20180;20180;20180;20180;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;20187;
2200000;"POMORSKIE";;;;18293;18293;18293;18293;18293;18293;18293;18293;18314;18310;18310;18310;18310;18310;18310;18310;18310;18310;18310;18310;18321;18323;18323;18323;18336;
2400000;"ŚLĄSKIE";;;;12294;12294;12294;12294;12331;12331;12331;12331;12334;12334;12334;12333;12333;12333;12333;12333;12333;12333;12333;12333;12333;12333;12333;12333;12334;
2600000;"ŚWIĘTOKRZYSKIE";;;;11672;11672;11691;11691;11691;11691;11708;11708;11710;11710;11710;11711;11711;11711;11711;11711;11711;11711;11711;11711;11711;11710;11710;11710;11709;
2800000;"WARMIŃSKO-MAZURSKIE";;;;24203;24203;24203;24203;24203;24203;24192;24192;24173;24173;24173;24174;24173;24173;24173;24173;24173;24173;24173;24173;24173;24173;24173;24173;24174;
3000000;"WIELKOPOLSKIE";;;;29826;29826;29826;29826;29826;29826;29826;29826;29827;29827;29827;29826;29826;29826;29826;29826;29826;29826;29826;29826;29826;29826;29826;29826;29827;
3200000;"ZACHODNIOPOMORSKIE";;;;22902;22902;22902;22902;22902;22896;22896;22896;22892;22892;22892;22892;22892;22892;22892;22892;22892;22892;22892;22892;22897;22905;22905;22905;22907;
